,Make,Model,Year of Manufacture,Color,Price,Location,Trim,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Interior Color,Seats,Registered Car,Second Condition,Body,Exchange Possible,VIN Chassis number
208,Mercedes-Benz,GLK-Class,2011,Black,17500000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Other,5,No,"Original parts, Unpainted, No faults",SUV,No,
209,Lexus,RX 350,2015,Silver,28550000.0,Lagos,,,,,,,,No,"Unpainted, No faults, Original parts",,,
210,Nissan,Micra,2002,Red,4000000.0,Abuja,,,,,,Other,,Yes,No faults,,Yes,
211,Honda,CR-V,2018,White,27500000.0,Lagos,,,,,,Black,,No,No faults,,,
212,Toyota,Corolla,2017,Gray,17500000.0,Lagos,,,,,,,,,,,,
213,Hyundai,Azera,2013,White,13000000.0,Lagos,3.3L,Front Wheel,3300cc,6,293hp,Black,5,No,No faults,Sedan,,
214,Mercedes-Benz,M Class,2011,Black,12350000.0,Lagos,ML 350 4Matic,All Wheel,3500cc,6,268hp,Black,5,No,"No faults, Unpainted, Original parts",SUV,,
215,Mercedes-Benz,M Class,2015,Black,28800000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Other,5,No,No faults,SUV,,
216,Lexus,RX,2016,White,46000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Black,5,No,"Unpainted, Original parts, No faults",SUV,,
217,Lexus,RX 350,2014,Gray,29500000.0,Lagos,,,,,,Other,,No,No faults,,,
218,Honda,Accord,2024,Black,48500000.0,Abuja,LX CVT,,,,,Gray,,,No faults,,,
219,Lexus,RX 350,2015,White,27800000.0,Lagos,,,,,,Beige,,No,No faults,,,
220,Mercedes-Benz,GLK-Class,2013,Gray,24500000.0,Lagos,,,,,,Black,,No,No faults,,Yes,
221,Lexus,RX 330,2005,Black,9500000.0,Delta,,,,,,Beige,,Yes,"First owner, First registration, No faults",,Yes,
222,Toyota,Venza,2012,Silver,17600000.0,Lagos,,,,,,Black,,No,"No faults, Unpainted",,,
223,Toyota,Highlander,2016,Black,32900000.0,Lagos,Limited V6 4x4 (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,,7,No,"Original parts, Unpainted, No faults",SUV,,
224,Lexus,RX,2008,Red,13950000.0,Lagos,350,Front Wheel,3500cc,6,275hp,Black,5,No,No faults,SUV,,
225,Toyota,Corolla,2013,Blue,13200000.0,Abuja,S 4dr Sedan (1.8L 4cyl 4A),Front,1800cc,4,132hp,Black,5,No,No faults,Sedan,,
226,Lexus,ES,2016,Gray,25800000.0,Lagos,,,,,,Brown,,No,"Unpainted, No faults",,,
227,Mercedes-Benz,CLA-Class,2014,Black,19900000.0,Lagos,CLA 250 4MATIC Sedan,Front Wheel,2000cc,4,208hp,Black,5,No,No faults,Sedan,Yes,
228,Mercedes-Benz,M Class,2013,White,25500000.0,Lagos,,,,,,,,No,,,,
229,Mercedes-Benz,E300,2017,Black,40500000.0,Lagos,4Matic AWD Sedan (2.0L 4cyl 9A),All Wheel,2000cc,4,,Black,,No,No faults,Sedan,,
230,Lexus,RX,2016,White,43000000.0,Lagos,350 FWD,Front Wheel,3500cc,6,295hp,Black,5,No,No faults,SUV,No,
231,Mercedes-Benz,GLK-Class,2015,Black,23250000.0,Lagos,Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Other,5,No,"Unpainted, No faults",SUV,No,
232,Mercedes-Benz,GLC-Class,2018,Brown,55000000.0,Lagos,,,,,,,,No,"No faults, Unpainted, Original parts",,No,
233,Lexus,GX,2014,White,45000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Black,7,No,No faults,SUV,No,
234,Toyota,Highlander,2016,Gray,30000000.0,Lagos,Limited Platinum V6 4x4 (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,Gray,7,No,No faults,SUV,,
235,Lexus,RX 350,2013,Black,24500000.0,Lagos,,,,,,Beige,,,No faults,,,
236,Toyota,Highlander,2022,Black,69500000.0,Abuja,XLE,Front Wheel,3500cc,6,295hp,Black,8,No,No faults,SUV,Yes,
237,Toyota,Camry,2013,Black,13700000.0,Lagos,SE 4dr Sedan (2.5L 4cyl 6A),Front,2500cc,4,178hp,Gray,5,No,No faults,Sedan,,
